,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
CC14,WEEKDAY,1.6,47.1,363.1,938.9,1153.9,580.2,344.0,413.6,444.7,430.7,314.7,440.1,539.0,662.5,665.0,355.0,138.8,122.2,107.0,24.5,24.1,10.5,152.5,752.9,1031.2,360.6,149.2,173.7,235.5,416.6,350.4,303.7,366.7,469.3,805.2,701.9,412.7,350.5,304.2,145.0
CC14,WEEKENDS/HOLIDAY,1.4,18.3,93.6,193.3,332.0,388.0,388.3,396.4,427.1,339.4,266.2,259.1,263.2,318.7,314.0,232.6,124.3,89.8,88.3,24.6,30.4,4.6,35.3,93.6,137.1,160.1,179.2,180.9,237.7,300.4,306.1,304.8,331.0,323.8,350.3,377.9,318.8,284.7,259.7,144.6
CC16,WEEKDAY,3.1,82.0,564.6,1259.0,1377.6,667.7,425.4,534.6,634.1,502.3,388.5,372.1,444.3,1025.2,1546.6,714.4,298.5,338.5,187.4,62.6,29.6,16.1,299.2,1503.5,1338.3,813.6,331.8,242.9,297.7,466.9,381.7,347.0,387.4,617.0,1194.6,974.9,539.3,455.6,377.5,181.8
CC16,WEEKENDS/HOLIDAY,4.0,38.3,164.6,270.4,333.0,388.6,394.6,466.0,519.6,510.4,422.1,336.2,424.4,468.0,482.0,335.9,202.2,195.8,170.3,56.8,35.3,4.3,102.8,345.7,468.9,439.3,366.9,301.1,299.7,353.7,349.8,342.2,336.8,380.2,429.3,425.1,345.3,336.1,310.0,174.9
CC17,WEEKDAY,0.5,65.2,334.1,762.9,707.4,338.7,145.5,131.8,139.6,212.8,120.9,148.5,145.2,287.5,483.6,222.8,89.9,72.8,50.7,17.0,17.8,5.6,120.5,497.6,499.6,244.0,86.4,76.2,96.8,136.5,129.5,136.6,179.7,343.9,656.1,379.5,213.9,188.4,156.5,68.6
CC17,WEEKENDS/HOLIDAY,1.0,24.7,100.7,129.9,135.0,147.4,148.0,137.3,147.6,131.6,113.9,129.3,133.6,142.4,148.6,99.4,54.0,46.9,30.8,11.0,28.4,1.9,40.3,140.9,145.0,116.7,97.0,90.1,109.0,121.7,117.3,111.3,110.7,126.2,133.0,124.1,115.4,116.1,114.2,58.7
CC19,WEEKDAY,3.6,13.7,155.8,425.6,589.3,378.2,272.4,362.5,421.59999999999997,416.6,387.40000000000003,418.20000000000005,446.8,730.9,901.1,533.7,283.8,271.5,206.2,79.6,17.0,21.3,266.1,806.1999999999999,923.3,591.9,459.1,475.6,409.09999999999997,402.0,394.4,381.40000000000003,391.9,469.6,696.3,484.70000000000005,237.0,194.39999999999998,145.1,66.5
CC19,WEEKENDS/HOLIDAY,5.8,6.6000000000000005,40.0,92.1,190.0,322.79999999999995,395.1,540.0,580.6,616.1,558.0,572.1,602.9000000000001,629.7,662.6,744.2,317.9,224.29999999999998,150.0,63.800000000000004,21.6,8.4,151.89999999999998,332.5,514.2,630.6,715.6999999999999,668.0999999999999,595.0,613.5,574.9,567.2,620.6999999999999,706.6,448.09999999999997,287.2,210.60000000000002,163.5,130.7,70.9
CC2,WEEKDAY,3.2,2.5,15.5,50.1,134.4,120.7,131.9,265.4,338.1,302.9,267.0,402.2,379.0,749.0,1125.7,585.3,368.0,438.1,402.0,179.5,2.2,6.3,100.4,478.6,1186.7,803.5,465.0,584.8,424.4,552.4,338.6,329.2,237.6,281.5,476.3,270.4,127.2,110.5,83.5,32.8
CC2,WEEKENDS/HOLIDAY,2.8,2.6,15.3,30.0,60.7,122.7,173.3,231.8,323.1,297.1,292.2,323.1,373.0,475.3,432.1,323.6,204.0,171.0,164.6,90.2,2.2,1.8,52.1,114.9,339.0,416.1,400.9,312.2,372.0,414.4,379.1,306.3,267.8,309.0,211.9,164.6,112.1,116.3,95.4,48.4
