ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
BP2,EW15,40.0,542
BP2,EW16,20.0,881
BP2,EW17,16.0,573
BP2,EW18,21.0,511
BP2,EW19,15.0,573
BP2,EW2,3.0,309
BP2,EW20,30.0,573
BP2,EW21,37.0,928
BP2,EW22,57.0,519
BP2,EW23,70.0,573
BP2,EW24-NS1,245.0,581
BP2,EW25,6.0,441
BP2,EW26,30.0,550
BP2,EW27,36.0,573
BP2,EW28,22.0,566
BP2,EW29,37.0,518
BP2,EW3,2.0,285
BP2,EW30,5.0,223
BP2,EW31,5.0,271
BP2,EW32,7.0,324
BP2,EW33,5.0,263
BP2,EW4,5.0,293
BP2,EW5,5.0,549
BP2,EW6,1.0,308
BP2,EW7,3.0,325
BP2,EW8,6.0,595
BP2,EW9,3.0,425
BP2,NE1,19.0,906
BP2,NE10,1.0,215
BP2,NE11,0.0,69
BP2,NE12,4.0,617
BP2,NE13,1.0,177
BP2,NE14,1.0,246
BP2,NE15,1.0,131
BP2,NE16-STC,0.0,69
BP2,NE17-PTC,1.0,293
BP2,NE4,10.0,795
BP2,NE5,4.0,416
BP2,NE7,6.0,639
BP2,NE8,3.0,385
BP2,NE9,2.0,254
BP2,NS10,39.0,581
BP2,NS11,32.0,581
BP2,NS13,49.0,589
BP2,NS14,13.0,573
BP2,NS15,49.0,558
BP2,NS16,28.0,581
BP2,NS17,13.0,944
BP2,NS18,5.0,432
BP2,NS19,11.0,542
BP2,NS2,80.0,589
BP2,NS20,6.0,425
BP2,NS21,1.0,216
BP2,NS22,6.0,456
BP2,NS23,3.0,464
BP2,NS27,0.0,85
BP2,NS28,0.0,77
BP2,NS3,35.0,581
BP2,NS4,304.0,1178
BP2,NS5,112.0,589
BP2,NS7,43.0,589
BP2,NS8,27.0,589
BP2,NS9,89.0,589
BP2,PE2,0.0,23
BP2,PE5,0.0,23
BP2,PE7,0.0,23
BP2,PW1,0.0,23
BP2,SE4,0.0,23
BP2,SE5,0.0,31
BP2,SW1,1.0,69
BP2,SW2,0.0,8
BP2,SW6,0.0,23
BP3,BP10,80.0,589
BP3,BP11,71.0,589
BP3,BP12,112.0,589
BP3,BP13,47.0,581
BP3,BP2,48.0,581
BP3,BP4,24.0,589
BP3,BP5,101.0,589
BP3,BP6,1605.0,589
BP3,BP7,39.0,589
BP3,BP8,110.0,589
BP3,BP9,74.0,589
BP3,CC1-NE6-NS24,2.0,424
BP3,CC10,1.0,231
BP3,CC11,4.0,308
BP3,CC12,0.0,116
BP3,CC14,1.0,92
BP3,CC16,3.0,193
BP3,CC17,0.0,161
BP3,CC19,1.0,346
BP3,CC2,0.0,184
BP3,CC20,0.0,161
BP3,CC21,2.0,355
BP3,CC23,21.0,378
BP3,CC24,22.0,511
BP3,CC25,3.0,286
BP3,CC26,7.0,394
BP3,CC27,10.0,393
BP3,CC28,1.0,139
BP3,CC3,1.0,184
BP3,CC4-DT15,3.0,231
BP3,CC5,0.0,184
BP3,CC6,1.0,262
BP3,CC7,0.0,161
BP3,CC8,0.0,123
BP3,CE1,3.0,600
BP3,CG1,1.0,254
BP3,CG2,4.0,510
BP3,DT1,1.0,253
BP3,DT10,1.0,161
BP3,DT11,13.0,477
BP3,DT13,4.0,345
BP3,DT17,4.0,230
BP3,DT18,4.0,299
BP3,DT2,1.0,161
BP3,DT20,1.0,261
BP3,DT21,0.0,92
BP3,DT22,0.0,92
BP3,DT23,1.0,115
BP3,DT24,0.0,115
BP3,DT25,0.0,123
BP3,DT27,1.0,146
BP3,DT28,2.0,253
BP3,DT29,1.0,161
BP3,DT3,1.0,192
BP3,DT30,0.0,92
BP3,DT31,1.0,284
BP3,DT32,1.0,253
BP3,DT33,1.0,208
BP3,DT34,0.0,138
BP3,DT5,5.0,399
BP3,DT6,2.0,261
BP3,DT7,2.0,207
BP3,DT8,4.0,207
BP3,EW1,1.0,401
BP3,EW10,2.0,410
BP3,EW11,3.0,479
BP3,EW12,9.0,810
BP3,EW13-NS25,13.0,480
BP3,EW14-NS26,16.0,418
BP3,EW15,41.0,472
BP3,EW16,22.0,999
BP3,EW17,24.0,573
BP3,EW18,45.0,565
BP3,EW19,21.0,573
BP3,EW2,2.0,371
BP3,EW20,38.0,566
BP3,EW21,49.0,1044
BP3,EW22,61.0,550
BP3,EW23,99.0,589
BP3,EW24-NS1,369.0,589
BP3,EW25,10.0,550
BP3,EW26,55.0,589
BP3,EW27,63.0,589
BP3,EW28,22.0,581
BP3,EW29,45.0,534
BP3,EW3,2.0,302
BP3,EW30,6.0,324
BP3,EW31,4.0,286
BP3,EW32,5.0,193
BP3,EW33,4.0,309
BP3,EW4,3.0,309
BP3,EW5,4.0,448
BP3,EW6,1.0,155
BP3,EW7,1.0,225
BP3,EW8,4.0,711
BP3,EW9,2.0,441
BP3,NE1,13.0,968
BP3,NE10,1.0,230
BP3,NE11,0.0,138
BP3,NE12,3.0,615
BP3,NE13,1.0,200
BP3,NE14,1.0,339
BP3,NE15,0.0,192
BP3,NE16-STC,1.0,246
BP3,NE17-PTC,1.0,323
BP3,NE4,9.0,672
BP3,NE5,2.0,354
BP3,NE7,4.0,508
BP3,NE8,3.0,463
BP3,NE9,2.0,238
BP3,NS10,52.0,589
BP3,NS11,50.0,589
BP3,NS13,74.0,589
BP3,NS14,22.0,589
BP3,NS15,71.0,581
BP3,NS16,44.0,589
BP3,NS17,15.0,983
BP3,NS18,3.0,432
BP3,NS19,12.0,549
BP3,NS2,94.0,589
BP3,NS20,9.0,463
BP3,NS21,0.0,124
BP3,NS22,6.0,395
BP3,NS23,4.0,448
BP3,NS27,0.0,92
BP3,NS28,0.0,146
BP3,NS3,38.0,589
BP3,NS4,525.0,1178
BP3,NS5,176.0,589
BP3,NS7,70.0,589
BP3,NS8,60.0,589
BP3,NS9,156.0,589
BP3,PE1,0.0,23
BP3,PE2,0.0,23
BP3,PE3,0.0,31
BP3,PE5,0.0,54
BP3,PE7,0.0,100
BP3,PW4,0.0,46
BP3,PW5,0.0,77
BP3,SE1,0.0,92
BP3,SE2,0.0,46
BP3,SE4,0.0,23
BP3,SW1,0.0,23
BP3,SW4,0.0,23
BP3,SW5,0.0,54
BP3,SW6,0.0,31
BP3,SW8,0.0,23
BP4,BP10,75.0,589
BP4,BP11,74.0,573
BP4,BP12,63.0,566
BP4,BP13,38.0,573
BP4,BP2,72.0,581
BP4,BP3,35.0,589
BP4,BP5,50.0,589
BP4,BP6,1223.0,589
BP4,BP7,44.0,589
BP4,BP8,75.0,589
BP4,BP9,62.0,589
BP4,CC1-NE6-NS24,2.0,361
BP4,CC10,1.0,384
BP4,CC11,1.0,238
BP4,CC12,0.0,161
BP4,CC14,1.0,169
BP4,CC16,1.0,207
BP4,CC17,0.0,253
BP4,CC19,1.0,253
BP4,CC2,0.0,92
BP4,CC20,0.0,85
BP4,CC21,2.0,323
BP4,CC23,2.0,269
BP4,CC24,7.0,379
BP4,CC25,1.0,184
BP4,CC26,1.0,254
BP4,CC27,2.0,277
BP4,CC28,2.0,246
BP4,CC3,0.0,100
BP4,CC4-DT15,1.0,230
BP4,CC5,0.0,138
BP4,CC6,1.0,223
BP4,CC7,0.0,169
BP4,CC8,0.0,92
BP4,CE1,2.0,516
BP4,CG1,1.0,315
BP4,CG2,1.0,369
BP4,DT1,0.0,161
BP4,DT10,1.0,92
BP4,DT11,7.0,376
BP4,DT13,2.0,299
BP4,DT17,2.0,207
BP4,DT18,1.0,207
BP4,DT2,0.0,92
BP4,DT20,0.0,138
BP4,DT21,0.0,115
BP4,DT22,0.0,23
BP4,DT23,0.0,92
BP4,DT24,0.0,69
BP4,DT25,0.0,184
BP4,DT27,1.0,138
BP4,DT28,0.0,92
BP4,DT29,0.0,100
BP4,DT3,0.0,161
BP4,DT30,0.0,123
BP4,DT31,1.0,115
BP4,DT32,2.0,361
BP4,DT33,1.0,253
BP4,DT34,0.0,92
BP4,DT5,2.0,391
BP4,DT6,1.0,207
BP4,DT7,0.0,138
BP4,DT8,1.0,115
BP4,EW1,2.0,269
BP4,EW10,1.0,224
BP4,EW11,3.0,416
BP4,EW12,5.0,715
BP4,EW13-NS25,4.0,410
BP4,EW14-NS26,3.0,323
BP4,EW15,11.0,464
BP4,EW16,6.0,800
BP4,EW17,36.0,557
BP4,EW18,29.0,510
BP4,EW19,18.0,495
BP4,EW2,2.0,332
BP4,EW20,33.0,511
BP4,EW21,21.0,872
BP4,EW22,20.0,518
BP4,EW23,82.0,589
BP4,EW24-NS1,240.0,581
BP4,EW25,4.0,386
BP4,EW26,27.0,519
BP4,EW27,70.0,581
BP4,EW28,24.0,533
BP4,EW29,16.0,534
BP4,EW3,1.0,254
BP4,EW30,1.0,124
BP4,EW31,2.0,185
BP4,EW32,2.0,185
BP4,EW33,1.0,200
BP4,EW4,2.0,308
BP4,EW5,3.0,362
BP4,EW6,1.0,208
BP4,EW7,2.0,300
BP4,EW8,3.0,602
BP4,EW9,2.0,386
BP4,NE1,7.0,785
BP4,NE10,1.0,238
BP4,NE11,0.0,69
BP4,NE12,4.0,530
BP4,NE13,1.0,276
BP4,NE14,1.0,330
BP4,NE15,1.0,238
BP4,NE16-STC,2.0,345
BP4,NE17-PTC,2.0,392
BP4,NE4,4.0,461
BP4,NE5,1.0,215
BP4,NE7,3.0,515
BP4,NE8,1.0,307
BP4,NE9,2.0,307
BP4,NS10,125.0,550
BP4,NS11,110.0,589
BP4,NS13,160.0,581
BP4,NS14,53.0,542
BP4,NS15,54.0,542
BP4,NS16,52.0,581
BP4,NS17,14.0,864
BP4,NS18,4.0,346
