DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP2,CC26,6.0,23
WEEKDAY,BP2,CC27,7.0,23
WEEKDAY,BP2,CC3,1.0,23
WEEKDAY,BP2,CC4-DT15,6.0,23
WEEKDAY,BP2,CE1,2.0,23
WEEKDAY,BP2,CG1,3.0,23
WEEKDAY,BP2,CG2,3.0,23
WEEKDAY,BP2,DT10,1.0,23
WEEKDAY,BP2,DT11,21.0,23
WEEKDAY,BP2,DT13,5.0,23
WEEKDAY,BP2,DT17,10.0,23
WEEKDAY,BP2,DT18,7.0,23
WEEKDAY,BP2,DT27,4.0,23
WEEKDAY,BP2,DT28,2.0,23
WEEKDAY,BP2,DT5,7.0,23
WEEKDAY,BP2,DT6,3.0,23
WEEKDAY,BP2,DT7,3.0,23
WEEKDAY,BP2,DT8,5.0,23
WEEKDAY,BP2,EW11,3.0,23
WEEKDAY,BP2,EW12,8.0,23
WEEKDAY,BP2,EW13-NS25,9.0,23
WEEKDAY,BP2,EW14-NS26,33.0,23
WEEKDAY,BP2,EW15,50.0,23
WEEKDAY,BP2,EW16,22.0,23
WEEKDAY,BP2,EW17,16.0,23
WEEKDAY,BP2,EW18,20.0,23
WEEKDAY,BP2,EW19,14.0,23
WEEKDAY,BP2,EW2,2.0,23
WEEKDAY,BP2,EW20,32.0,23
WEEKDAY,BP2,EW21,38.0,23
WEEKDAY,BP2,EW22,72.0,23
WEEKDAY,BP2,EW23,76.0,23
WEEKDAY,BP2,EW24-NS1,253.0,23
WEEKDAY,BP2,EW25,4.0,23
WEEKDAY,BP2,EW26,35.0,23
WEEKDAY,BP2,EW27,39.0,23
WEEKDAY,BP2,EW28,26.0,23
WEEKDAY,BP2,EW29,44.0,23
WEEKDAY,BP2,EW3,1.0,23
WEEKDAY,BP2,EW30,6.0,23
WEEKDAY,BP2,EW31,5.0,23
WEEKDAY,BP2,EW32,8.0,23
WEEKDAY,BP2,EW33,4.0,23
WEEKDAY,BP2,EW4,5.0,23
WEEKDAY,BP2,EW5,4.0,23
WEEKDAY,BP2,EW6,1.0,23
WEEKDAY,BP2,EW7,2.0,23
WEEKDAY,BP2,EW8,5.0,23
WEEKDAY,BP2,EW9,1.0,23
WEEKDAY,BP2,NE1,15.0,23
WEEKDAY,BP2,NE12,3.0,23
WEEKDAY,BP2,NE4,11.0,23
WEEKDAY,BP2,NE5,3.0,23
WEEKDAY,BP2,NE7,6.0,23
WEEKDAY,BP2,NE8,2.0,23
WEEKDAY,BP2,NE9,1.0,23
WEEKDAY,BP2,NS10,43.0,23
WEEKDAY,BP2,NS11,36.0,23
WEEKDAY,BP2,NS13,51.0,23
WEEKDAY,BP2,NS14,13.0,23
WEEKDAY,BP2,NS15,62.0,23
WEEKDAY,BP2,NS16,27.0,23
WEEKDAY,BP2,NS17,11.0,23
WEEKDAY,BP2,NS18,5.0,23
WEEKDAY,BP2,NS19,8.0,23
WEEKDAY,BP2,NS2,84.0,23
WEEKDAY,BP2,NS20,6.0,23
WEEKDAY,BP2,NS21,1.0,23
WEEKDAY,BP2,NS22,6.0,23
WEEKDAY,BP2,NS23,2.0,23
WEEKDAY,BP2,NS3,31.0,23
WEEKDAY,BP2,NS4,298.0,23
WEEKDAY,BP2,NS5,126.0,23
WEEKDAY,BP2,NS7,44.0,23
WEEKDAY,BP2,NS8,27.0,23
WEEKDAY,BP2,NS9,97.0,23
WEEKDAY,BP2,SW1,1.0,23
WEEKDAY,BP3,BP10,90.0,23
WEEKDAY,BP3,BP11,74.0,23
WEEKDAY,BP3,BP12,129.0,23
WEEKDAY,BP3,BP13,49.0,23
WEEKDAY,BP3,BP2,48.0,23
WEEKDAY,BP3,BP4,26.0,23
WEEKDAY,BP3,BP5,102.0,23
WEEKDAY,BP3,BP6,1703.0,23
WEEKDAY,BP3,BP7,40.0,23
WEEKDAY,BP3,BP8,118.0,23
WEEKDAY,BP3,BP9,78.0,23
WEEKDAY,BP3,CC11,4.0,23
WEEKDAY,BP3,CC16,2.0,23
WEEKDAY,BP3,CC23,26.0,23
WEEKDAY,BP3,CC24,28.0,23
WEEKDAY,BP3,CC25,2.0,23
WEEKDAY,BP3,CC26,7.0,23
WEEKDAY,BP3,CC27,12.0,23
WEEKDAY,BP3,CC4-DT15,3.0,23
WEEKDAY,BP3,CG1,1.0,23
WEEKDAY,BP3,CG2,1.0,23
WEEKDAY,BP3,DT10,1.0,23
WEEKDAY,BP3,DT11,17.0,23
WEEKDAY,BP3,DT13,4.0,23
WEEKDAY,BP3,DT17,4.0,23
WEEKDAY,BP3,DT18,3.0,23
WEEKDAY,BP3,DT2,1.0,23
WEEKDAY,BP3,DT20,1.0,23
WEEKDAY,BP3,DT23,1.0,23
WEEKDAY,BP3,DT28,1.0,23
WEEKDAY,BP3,DT29,1.0,23
WEEKDAY,BP3,DT5,6.0,23
WEEKDAY,BP3,DT6,2.0,23
WEEKDAY,BP3,DT7,2.0,23
WEEKDAY,BP3,DT8,4.0,23
WEEKDAY,BP3,EW10,1.0,23
WEEKDAY,BP3,EW11,1.0,23
WEEKDAY,BP3,EW12,5.0,23
WEEKDAY,BP3,EW13-NS25,9.0,23
WEEKDAY,BP3,EW14-NS26,19.0,23
WEEKDAY,BP3,EW15,51.0,23
WEEKDAY,BP3,EW16,20.0,23
WEEKDAY,BP3,EW17,26.0,23
WEEKDAY,BP3,EW18,56.0,23
WEEKDAY,BP3,EW19,25.0,23
WEEKDAY,BP3,EW20,46.0,23
WEEKDAY,BP3,EW21,57.0,23
WEEKDAY,BP3,EW22,74.0,23
WEEKDAY,BP3,EW23,108.0,23
WEEKDAY,BP3,EW24-NS1,385.0,23
WEEKDAY,BP3,EW25,6.0,23
WEEKDAY,BP3,EW26,59.0,23
WEEKDAY,BP3,EW27,74.0,23
WEEKDAY,BP3,EW28,25.0,23
WEEKDAY,BP3,EW29,55.0,23
WEEKDAY,BP3,EW3,1.0,23
WEEKDAY,BP3,EW30,9.0,23
WEEKDAY,BP3,EW31,5.0,23
WEEKDAY,BP3,EW32,5.0,23
WEEKDAY,BP3,EW33,3.0,23
WEEKDAY,BP3,EW4,3.0,23
WEEKDAY,BP3,EW5,3.0,23
WEEKDAY,BP3,EW6,1.0,23
WEEKDAY,BP3,NE1,9.0,23
WEEKDAY,BP3,NE10,1.0,23
WEEKDAY,BP3,NE17-PTC,1.0,23
WEEKDAY,BP3,NE4,10.0,23
WEEKDAY,BP3,NE5,1.0,23
WEEKDAY,BP3,NE7,2.0,23
WEEKDAY,BP3,NE8,1.0,23
WEEKDAY,BP3,NE9,2.0,23
WEEKDAY,BP3,NS10,56.0,23
WEEKDAY,BP3,NS11,55.0,23
WEEKDAY,BP3,NS13,76.0,23
WEEKDAY,BP3,NS14,22.0,23
WEEKDAY,BP3,NS15,88.0,23
WEEKDAY,BP3,NS16,46.0,23
WEEKDAY,BP3,NS17,13.0,23
WEEKDAY,BP3,NS18,1.0,23
WEEKDAY,BP3,NS19,10.0,23
WEEKDAY,BP3,NS2,99.0,23
WEEKDAY,BP3,NS20,8.0,23
WEEKDAY,BP3,NS22,5.0,23
WEEKDAY,BP3,NS23,3.0,23
WEEKDAY,BP3,NS3,38.0,23
WEEKDAY,BP3,NS4,518.0,23
WEEKDAY,BP3,NS5,192.0,23
WEEKDAY,BP3,NS7,71.0,23
WEEKDAY,BP3,NS8,61.0,23
WEEKDAY,BP3,NS9,169.0,23
WEEKDAY,BP4,BP10,89.0,23
WEEKDAY,BP4,BP11,89.0,23
WEEKDAY,BP4,BP12,73.0,23
WEEKDAY,BP4,BP13,41.0,23
WEEKDAY,BP4,BP2,84.0,23
WEEKDAY,BP4,BP3,37.0,23
WEEKDAY,BP4,BP5,54.0,23
WEEKDAY,BP4,BP6,1396.0,23
WEEKDAY,BP4,BP7,48.0,23
WEEKDAY,BP4,BP8,87.0,23
WEEKDAY,BP4,BP9,70.0,23
WEEKDAY,BP4,CC11,1.0,23
WEEKDAY,BP4,CC14,1.0,23
WEEKDAY,BP4,CC16,1.0,23
WEEKDAY,BP4,CC21,1.0,23
WEEKDAY,BP4,CC23,2.0,23
WEEKDAY,BP4,CC24,7.0,23
WEEKDAY,BP4,CC25,1.0,23
WEEKDAY,BP4,CC27,1.0,23
WEEKDAY,BP4,CC28,2.0,23
WEEKDAY,BP4,DT10,1.0,23
