,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,DT2,DT1,55.0,83.0,543.0,641.0,478.0,360.0,417.0,545.0,869.0,952.0,1194.0,1390.0,1799.0,3855.0,5399.0,3188.0,2222.0,2147.0,1606.0,622.0
WEEKDAY,DT2,DT3,,510.0,3243.0,6387.0,6200.0,2748.0,1542.0,1283.0,1154.0,1050.0,936.0,824.0,899.0,1396.0,1429.0,796.0,425.0,388.0,248.0,65.0
WEEKDAY,DT20,DT21,55.0,81.0,543.0,1316.0,1497.0,699.0,534.0,720.0,1009.0,1076.0,1045.0,1185.0,1461.0,3121.0,4961.0,2972.0,2138.0,2039.0,1484.0,615.0
WEEKDAY,DT20,NE4,3.0,325.0,1650.0,4226.0,5569.0,2819.0,1670.0,1419.0,1382.0,1330.0,1059.0,1001.0,1098.0,1949.0,2760.0,1362.0,682.0,516.0,369.0,132.0
WEEKDAY,DT21,DT20,,350.0,1760.0,4449.0,5569.0,2693.0,1575.0,1308.0,1244.0,1201.0,993.0,959.0,1056.0,1863.0,2613.0,1252.0,604.0,442.0,307.0,97.0
WEEKDAY,DT21,DT22,58.0,82.0,575.0,1316.0,1506.0,716.0,524.0,726.0,987.0,1071.0,1057.0,1295.0,1559.0,3382.0,5419.0,3269.0,2272.0,2221.0,1772.0,722.0
WEEKDAY,DT22,DT21,,374.0,1906.0,5157.0,6245.0,2895.0,1675.0,1495.0,1292.0,1240.0,1081.0,981.0,1068.0,1897.0,2707.0,1227.0,575.0,423.0,279.0,83.0
WEEKDAY,DT22,DT23,63.0,86.0,749.0,1575.0,1794.0,840.0,597.0,751.0,1027.0,1141.0,1122.0,1362.0,1620.0,3510.0,5539.0,3428.0,2473.0,2430.0,1935.0,802.0
WEEKDAY,DT23,DT22,,391.0,2017.0,5342.0,6380.0,3011.0,1801.0,1587.0,1420.0,1300.0,1148.0,1077.0,1197.0,2214.0,3202.0,1564.0,775.0,506.0,361.0,113.0
WEEKDAY,DT23,DT24,61.0,86.0,780.0,1604.0,1701.0,790.0,601.0,783.0,1033.0,1113.0,1123.0,1381.0,1663.0,3769.0,6050.0,3660.0,2548.0,2463.0,1976.0,812.0
WEEKDAY,DT24,DT23,,414.0,2132.0,5730.0,6984.0,3297.0,1850.0,1557.0,1386.0,1322.0,1164.0,1076.0,1187.0,2148.0,3053.0,1503.0,774.0,515.0,372.0,120.0
WEEKDAY,DT24,DT25,54.0,119.0,1031.0,1913.0,2011.0,924.0,663.0,817.0,1058.0,1140.0,1129.0,1373.0,1652.0,3805.0,6010.0,3598.0,2482.0,2378.0,1881.0,749.0
WEEKDAY,DT25,CC10,54.0,128.0,1039.0,2011.0,2104.0,987.0,700.0,841.0,1087.0,1228.0,1152.0,1409.0,1697.0,3904.0,6166.0,3582.0,2434.0,2334.0,1838.0,729.0
WEEKDAY,DT25,DT24,1.0,415.0,2099.0,5761.0,6783.0,3153.0,1795.0,1521.0,1380.0,1335.0,1189.0,1119.0,1249.0,2295.0,3252.0,1601.0,869.0,608.0,461.0,164.0
WEEKDAY,DT27,CC10,,485.0,3072.0,7645.0,8934.0,3891.0,2120.0,1723.0,1592.0,1534.0,1347.0,1263.0,1371.0,2829.0,3956.0,1911.0,1060.0,768.0,542.0,186.0
WEEKDAY,DT27,DT28,50.0,185.0,1305.0,2359.0,2033.0,870.0,673.0,781.0,1125.0,1368.0,1351.0,1704.0,2080.0,4976.0,7867.0,4246.0,2826.0,2673.0,2072.0,829.0
WEEKDAY,DT28,DT27,,480.0,3060.0,7390.0,8817.0,3744.0,1965.0,1602.0,1442.0,1327.0,1182.0,1108.0,1207.0,2362.0,3096.0,1548.0,888.0,692.0,488.0,184.0
WEEKDAY,DT28,DT29,43.0,132.0,1215.0,1871.0,1541.0,793.0,622.0,726.0,1042.0,1199.0,1202.0,1571.0,1874.0,4604.0,7400.0,3789.0,2448.0,2228.0,1723.0,690.0
WEEKDAY,DT29,DT28,,447.0,2666.0,6578.0,8130.0,3355.0,1711.0,1371.0,1251.0,1169.0,1066.0,954.0,1080.0,1798.0,2271.0,1259.0,778.0,695.0,504.0,164.0
WEEKDAY,DT29,DT30,38.0,135.0,1347.0,1991.0,1650.0,862.0,661.0,736.0,1015.0,1153.0,1134.0,1477.0,1735.0,4222.0,6793.0,3422.0,2166.0,1950.0,1503.0,591.0
WEEKDAY,DT3,DT2,56.0,103.0,810.0,907.0,561.0,383.0,409.0,549.0,824.0,979.0,1111.0,1394.0,1833.0,3906.0,5567.0,3295.0,2298.0,2240.0,1671.0,646.0
WEEKDAY,DT3,DT5,,550.0,3643.0,7418.0,7647.0,3367.0,1884.0,1575.0,1400.0,1260.0,1173.0,1119.0,1149.0,1667.0,1704.0,917.0,473.0,443.0,291.0,74.0
WEEKDAY,DT30,DT29,,394.0,2369.0,5869.0,7196.0,2921.0,1506.0,1240.0,1159.0,1111.0,1024.0,947.0,1066.0,1707.0,2174.0,1265.0,820.0,761.0,557.0,196.0
WEEKDAY,DT30,DT31,32.0,122.0,1233.0,2041.0,1792.0,934.0,693.0,722.0,948.0,1061.0,1038.0,1313.0,1513.0,3643.0,5790.0,2855.0,1786.0,1589.0,1235.0,483.0
WEEKDAY,DT31,DT30,,343.0,2037.0,4905.0,5754.0,2351.0,1238.0,1048.0,1023.0,991.0,924.0,881.0,1021.0,1667.0,2167.0,1306.0,858.0,786.0,578.0,202.0
WEEKDAY,DT31,DT32,33.0,102.0,1154.0,1843.0,1620.0,922.0,665.0,681.0,876.0,1007.0,952.0,1197.0,1362.0,3067.0,4858.0,2434.0,1527.0,1339.0,1015.0,392.0
WEEKDAY,DT32,DT31,,275.0,1705.0,4096.0,4738.0,1948.0,1076.0,935.0,937.0,901.0,881.0,827.0,951.0,1513.0,2055.0,1358.0,919.0,813.0,606.0,207.0
