,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
WEEKDAY,DT33,EW2,,210.0,838.0,1227.0,970.0,535.0,313.0,283.0,372.0,356.0,381.0,355.0,413.0,636.0,713.0,442.0,315.0,205.0,166.0,35.0
WEEKDAY,DT34,CG1,3.0,33.0,317.0,573.0,503.0,277.0,153.0,124.0,115.0,147.0,142.0,110.0,120.0,149.0,199.0,150.0,70.0,46.0,19.0,8.0
WEEKDAY,DT34,DT33,,29.0,35.0,76.0,109.0,63.0,48.0,73.0,104.0,104.0,123.0,184.0,251.0,418.0,528.0,352.0,278.0,182.0,141.0,33.0
WEEKDAY,DT5,DT3,3.0,113.0,604.0,739.0,423.0,265.0,285.0,388.0,535.0,703.0,874.0,1057.0,1245.0,2096.0,2057.0,1212.0,864.0,657.0,441.0,121.0
WEEKDAY,DT5,DT6,,508.0,2134.0,3180.0,2127.0,1314.0,845.0,726.0,778.0,780.0,670.0,587.0,609.0,864.0,827.0,407.0,286.0,261.0,124.0,12.0
WEEKDAY,DT6,DT5,2.0,135.0,700.0,869.0,534.0,344.0,349.0,456.0,599.0,782.0,1007.0,1171.0,1398.0,2323.0,2305.0,1329.0,936.0,712.0,483.0,134.0
WEEKDAY,DT6,DT7,,504.0,2117.0,3207.0,2186.0,1352.0,881.0,761.0,807.0,825.0,771.0,608.0,672.0,954.0,898.0,430.0,290.0,261.0,129.0,12.0
WEEKDAY,DT7,DT6,2.0,144.0,803.0,951.0,577.0,360.0,360.0,474.0,618.0,788.0,995.0,1192.0,1408.0,2355.0,2364.0,1365.0,960.0,732.0,498.0,138.0
WEEKDAY,DT7,DT8,,498.0,2076.0,3112.0,2169.0,1357.0,883.0,761.0,816.0,870.0,870.0,678.0,754.0,1033.0,952.0,457.0,310.0,264.0,141.0,14.0
WEEKDAY,DT8,CC19,,483.0,1993.0,2920.0,2173.0,1355.0,886.0,770.0,836.0,941.0,1098.0,888.0,922.0,1114.0,988.0,468.0,315.0,267.0,149.0,16.0
WEEKDAY,DT8,DT7,2.0,151.0,877.0,1056.0,658.0,388.0,382.0,485.0,634.0,804.0,978.0,1188.0,1407.0,2361.0,2384.0,1385.0,976.0,738.0,498.0,138.0
WEEKDAY,EW1,EW2,,378.0,1383.0,1823.0,1422.0,897.0,647.0,619.0,674.0,653.0,679.0,552.0,620.0,810.0,737.0,406.0,280.0,224.0,162.0,16.0
WEEKDAY,EW10,EW11,,826.0,2509.0,3321.0,3154.0,2345.0,1630.0,1323.0,1367.0,1401.0,1244.0,1184.0,1212.0,1854.0,1876.0,995.0,719.0,487.0,316.0,58.0
