DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP12,DT31,0.0,21
WEEKDAY,BP12,DT33,0.0,21
WEEKDAY,BP12,DT5,0.0,21
WEEKDAY,BP12,DT6,0.0,21
WEEKDAY,BP12,DT7,0.0,21
WEEKDAY,BP12,DT8,0.0,21
WEEKDAY,BP12,EW1,0.0,21
WEEKDAY,BP12,EW10,0.0,21
WEEKDAY,BP12,EW11,0.0,21
WEEKDAY,BP12,EW12,1.0,21
WEEKDAY,BP12,EW13-NS25,1.0,21
WEEKDAY,BP12,EW14-NS26,1.0,21
WEEKDAY,BP12,EW15,3.0,21
WEEKDAY,BP12,EW16,2.0,21
WEEKDAY,BP12,EW17,9.0,21
WEEKDAY,BP12,EW18,10.0,21
WEEKDAY,BP12,EW19,5.0,21
WEEKDAY,BP12,EW2,0.0,21
WEEKDAY,BP12,EW20,12.0,21
WEEKDAY,BP12,EW21,5.0,21
WEEKDAY,BP12,EW22,36.0,21
WEEKDAY,BP12,EW23,53.0,21
WEEKDAY,BP12,EW24-NS1,257.0,21
WEEKDAY,BP12,EW25,4.0,21
WEEKDAY,BP12,EW26,30.0,21
WEEKDAY,BP12,EW27,59.0,21
WEEKDAY,BP12,EW28,26.0,21
WEEKDAY,BP12,EW29,36.0,21
WEEKDAY,BP12,EW3,0.0,21
WEEKDAY,BP12,EW30,6.0,21
WEEKDAY,BP12,EW31,2.0,21
WEEKDAY,BP12,EW32,2.0,21
WEEKDAY,BP12,EW33,2.0,21
WEEKDAY,BP12,EW4,0.0,21
WEEKDAY,BP12,EW5,0.0,21
WEEKDAY,BP12,EW6,0.0,21
WEEKDAY,BP12,EW7,0.0,21
WEEKDAY,BP12,EW8,1.0,21
WEEKDAY,BP12,EW9,0.0,21
WEEKDAY,BP12,NE1,1.0,21
WEEKDAY,BP12,NE12,0.0,21
WEEKDAY,BP12,NE13,0.0,21
WEEKDAY,BP12,NE14,0.0,21
WEEKDAY,BP12,NE15,0.0,21
WEEKDAY,BP12,NE16-STC,0.0,21
WEEKDAY,BP12,NE4,0.0,21
WEEKDAY,BP12,NE5,0.0,21
WEEKDAY,BP12,NE7,0.0,21
WEEKDAY,BP12,NE8,0.0,21
WEEKDAY,BP12,NE9,0.0,21
WEEKDAY,BP12,NS10,26.0,21
WEEKDAY,BP12,NS11,29.0,21
WEEKDAY,BP12,NS13,32.0,21
WEEKDAY,BP12,NS14,11.0,21
WEEKDAY,BP12,NS15,36.0,21
WEEKDAY,BP12,NS16,14.0,21
WEEKDAY,BP12,NS17,2.0,21
WEEKDAY,BP12,NS18,2.0,21
WEEKDAY,BP12,NS19,1.0,21
WEEKDAY,BP12,NS2,38.0,21
WEEKDAY,BP12,NS20,1.0,21
WEEKDAY,BP12,NS21,0.0,21
WEEKDAY,BP12,NS22,0.0,21
WEEKDAY,BP12,NS23,0.0,21
WEEKDAY,BP12,NS27,0.0,21
WEEKDAY,BP12,NS28,0.0,21
WEEKDAY,BP12,NS3,36.0,21
WEEKDAY,BP12,NS4,338.0,21
WEEKDAY,BP12,NS5,63.0,21
WEEKDAY,BP12,NS7,20.0,21
WEEKDAY,BP12,NS8,15.0,21
WEEKDAY,BP12,NS9,66.0,21
WEEKDAY,BP12,SW5,0.0,21
WEEKDAY,BP13,BP10,127.0,21
WEEKDAY,BP13,BP11,117.0,21
WEEKDAY,BP13,BP12,82.0,21
WEEKDAY,BP13,BP14,0.0,21
WEEKDAY,BP13,BP2,49.0,21
WEEKDAY,BP13,BP3,56.0,21
WEEKDAY,BP13,BP4,60.0,21
WEEKDAY,BP13,BP5,43.0,21
WEEKDAY,BP13,BP6,711.0,21
WEEKDAY,BP13,BP7,21.0,21
WEEKDAY,BP13,BP8,65.0,21
WEEKDAY,BP13,BP9,155.0,21
WEEKDAY,BP13,CC1-NE6-NS24,0.0,21
WEEKDAY,BP13,CC14,0.0,21
WEEKDAY,BP13,CC16,0.0,21
WEEKDAY,BP13,CC19,0.0,21
WEEKDAY,BP13,CC21,0.0,21
WEEKDAY,BP13,CC23,0.0,21
WEEKDAY,BP13,CC24,1.0,21
WEEKDAY,BP13,CC25,0.0,21
WEEKDAY,BP13,CC3,0.0,21
WEEKDAY,BP13,CC5,0.0,21
WEEKDAY,BP13,CC6,0.0,21
WEEKDAY,BP13,CC7,0.0,21
WEEKDAY,BP13,CE1,0.0,21
WEEKDAY,BP13,CG1,0.0,21
WEEKDAY,BP13,CG2,0.0,21
WEEKDAY,BP13,DT1,0.0,21
WEEKDAY,BP13,DT11,0.0,21
WEEKDAY,BP13,DT13,0.0,21
WEEKDAY,BP13,DT17,0.0,21
WEEKDAY,BP13,DT18,0.0,21
WEEKDAY,BP13,DT20,0.0,21
WEEKDAY,BP13,DT21,0.0,21
WEEKDAY,BP13,DT24,0.0,21
WEEKDAY,BP13,DT27,0.0,21
WEEKDAY,BP13,DT28,0.0,21
WEEKDAY,BP13,DT31,0.0,21
WEEKDAY,BP13,DT32,1.0,21
WEEKDAY,BP13,DT5,0.0,21
WEEKDAY,BP13,DT6,0.0,21
WEEKDAY,BP13,DT8,0.0,21
WEEKDAY,BP13,EW1,0.0,21
WEEKDAY,BP13,EW10,0.0,21
WEEKDAY,BP13,EW11,0.0,21
WEEKDAY,BP13,EW12,0.0,21
WEEKDAY,BP13,EW13-NS25,1.0,21
