ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
BP4,NE7,1
BP4,NE8,1
BP4,NE9,0
BP4,NS10,127
BP4,NS11,98
BP4,NS13,171
BP4,NS14,41
BP4,NS15,52
BP4,NS16,55
BP4,NS17,13
BP4,NS18,5
BP4,NS19,10
BP4,NS2,49
BP4,NS20,3
BP4,NS21,1
BP4,NS22,2
BP4,NS23,2
BP4,NS27,0
BP4,NS28,0
BP4,NS3,29
BP4,NS4,472
BP4,NS5,142
BP4,NS7,28
BP4,NS8,47
BP4,NS9,255
BP4,PE2,0
BP4,PE3,0
BP4,PE7,0
BP4,PW5,0
BP4,PW7,0
BP4,SE1,0
BP4,SE2,0
BP4,SE3,0
BP4,SE4,0
BP4,SW5,0
BP5,BP10,277
BP5,BP11,237
BP5,BP12,209
BP5,BP13,86
BP5,BP14,0
BP5,BP2,71
BP5,BP3,87
BP5,BP4,32
BP5,BP6,643
BP5,BP7,84
BP5,BP8,100
BP5,BP9,190
BP5,CC1-NE6-NS24,0
BP5,CC10,0
BP5,CC11,0
BP5,CC12,0
BP5,CC14,0
BP5,CC16,0
BP5,CC2,0
BP5,CC21,0
BP5,CC23,0
BP5,CC24,2
BP5,CC25,0
BP5,CC26,0
BP5,CC27,1
BP5,CC28,0
BP5,CC4-DT15,0
BP5,CC5,0
BP5,CC6,0
BP5,CC7,0
BP5,CE1,0
BP5,CG2,1
BP5,DT1,0
BP5,DT11,0
BP5,DT17,0
BP5,DT18,0
BP5,DT27,0
BP5,DT28,0
BP5,DT31,0
BP5,DT32,0
BP5,DT5,0
BP5,DT6,0
BP5,DT7,0
BP5,EW1,0
BP5,EW10,0
BP5,EW11,1
BP5,EW12,1
BP5,EW13-NS25,0
BP5,EW14-NS26,0
BP5,EW15,3
BP5,EW16,1
BP5,EW17,7
BP5,EW18,8
BP5,EW19,5
BP5,EW2,0
BP5,EW20,7
BP5,EW21,6
BP5,EW22,21
BP5,EW23,27
BP5,EW24-NS1,117
BP5,EW25,2
BP5,EW26,7
BP5,EW27,20
BP5,EW28,12
BP5,EW29,9
BP5,EW3,0
BP5,EW30,1
BP5,EW31,1
BP5,EW32,1
BP5,EW33,1
BP5,EW4,0
BP5,EW5,0
BP5,EW6,1
BP5,EW7,0
BP5,EW8,0
BP5,EW9,1
BP5,NE1,1
BP5,NE10,0
BP5,NE11,0
BP5,NE12,1
BP5,NE13,0
BP5,NE16-STC,0
BP5,NE17-PTC,0
BP5,NE4,0
BP5,NE5,0
BP5,NE7,0
BP5,NE8,0
BP5,NE9,0
BP5,NS10,22
BP5,NS11,17
BP5,NS13,25
BP5,NS14,8
BP5,NS15,26
BP5,NS16,10
BP5,NS17,1
BP5,NS18,0
BP5,NS19,1
BP5,NS2,19
BP5,NS20,2
BP5,NS21,0
BP5,NS22,0
BP5,NS23,0
BP5,NS28,0
BP5,NS3,12
BP5,NS4,204
BP5,NS5,48
BP5,NS7,10
BP5,NS8,8
BP5,NS9,43
BP5,SE3,0
BP6,BP10,1289
BP6,BP11,1293
BP6,BP12,1262
BP6,BP13,529
BP6,BP14,22
BP6,BP2,1242
BP6,BP3,1352
BP6,BP4,1078
BP6,BP5,550
BP6,BP7,384
BP6,BP8,586
BP6,BP9,912
BP6,CC1-NE6-NS24,1
BP6,CC10,0
BP6,CC11,0
BP6,CC12,0
BP6,CC14,0
BP6,CC16,0
BP6,CC17,0
BP6,CC19,0
BP6,CC2,0
BP6,CC20,0
BP6,CC21,0
BP6,CC23,0
BP6,CC24,1
BP6,CC25,0
BP6,CC26,0
BP6,CC27,0
BP6,CC28,0
BP6,CC4-DT15,0
BP6,CC5,0
BP6,CC6,0
BP6,CC7,0
BP6,CE1,0
BP6,CG1,0
BP6,CG2,0
BP6,DT1,0
BP6,DT10,0
BP6,DT11,0
BP6,DT13,0
BP6,DT17,0
BP6,DT18,0
BP6,DT20,0
BP6,DT21,0
BP6,DT27,0
BP6,DT29,0
BP6,DT30,0
BP6,DT32,0
BP6,DT33,0
BP6,DT5,0
BP6,DT6,0
BP6,DT8,0
BP6,EW1,0
BP6,EW10,0
BP6,EW11,1
BP6,EW12,1
BP6,EW13-NS25,1
BP6,EW14-NS26,0
BP6,EW15,1
BP6,EW16,1
BP6,EW17,7
BP6,EW18,6
BP6,EW19,6
BP6,EW2,0
BP6,EW20,7
BP6,EW21,3
BP6,EW22,19
BP6,EW23,57
BP6,EW24-NS1,376
BP6,EW25,7
BP6,EW26,25
BP6,EW27,69
BP6,EW28,36
BP6,EW29,26
BP6,EW3,0
BP6,EW30,3
BP6,EW31,4
BP6,EW32,3
BP6,EW33,3
BP6,EW4,0
BP6,EW5,1
BP6,EW6,0
BP6,EW7,0
BP6,EW8,0
BP6,EW9,0
BP6,NE1,1
BP6,NE10,0
BP6,NE12,1
BP6,NE13,0
BP6,NE14,0
BP6,NE15,0
BP6,NE16-STC,0
BP6,NE17-PTC,0
BP6,NE4,1
BP6,NE5,0
BP6,NE7,0
BP6,NE8,0
BP6,NE9,0
BP6,NS10,111
BP6,NS11,93
BP6,NS13,58
BP6,NS14,23
BP6,NS15,20
BP6,NS16,11
BP6,NS17,2
BP6,NS18,0
BP6,NS19,1
BP6,NS2,77
BP6,NS20,1
BP6,NS21,0
BP6,NS22,1
BP6,NS23,0
BP6,NS27,0
BP6,NS3,123
BP6,NS4,1719
BP6,NS5,375
BP6,NS7,49
BP6,NS8,41
BP6,NS9,168
BP6,PW7,0
BP7,BP10,185
BP7,BP11,97
BP7,BP12,55
BP7,BP13,16
BP7,BP14,3
BP7,BP2,43
BP7,BP3,41
BP7,BP4,61
BP7,BP5,37
BP7,BP6,465
BP7,BP8,55
BP7,BP9,200
BP7,CC1-NE6-NS24,0
BP7,CC10,0
BP7,CC11,0
BP7,CC16,0
BP7,CC19,0
BP7,CC21,0
BP7,CC23,0
BP7,CC24,0
BP7,CC25,0
BP7,CC26,0
BP7,CC4-DT15,0
BP7,CC5,0
BP7,CC6,0
BP7,CC7,0
BP7,CE1,0
BP7,CG1,0
BP7,CG2,0
BP7,DT1,0
BP7,DT11,0
BP7,DT17,0
BP7,DT18,0
BP7,DT20,0
BP7,DT24,0
BP7,DT27,0
BP7,DT3,0
BP7,DT31,0
BP7,DT32,0
BP7,DT33,0
BP7,DT34,0
BP7,DT5,0
BP7,DT8,0
BP7,EW1,0
BP7,EW10,0
BP7,EW11,0
BP7,EW12,0
BP7,EW13-NS25,0
BP7,EW14-NS26,0
BP7,EW15,1
BP7,EW16,1
BP7,EW17,5
BP7,EW18,4
BP7,EW19,4
BP7,EW2,0
BP7,EW20,5
BP7,EW21,4
BP7,EW22,22
BP7,EW23,20
BP7,EW24-NS1,172
BP7,EW25,1
BP7,EW26,7
BP7,EW27,33
BP7,EW28,9
BP7,EW29,20
BP7,EW3,0
BP7,EW30,2
BP7,EW31,1
BP7,EW32,3
BP7,EW33,1
BP7,EW4,0
BP7,EW5,0
BP7,EW7,0
BP7,EW8,0
BP7,EW9,0
BP7,NE1,0
BP7,NE12,0
BP7,NE13,0
BP7,NE14,0
BP7,NE4,0
BP7,NE5,0
BP7,NE7,0
BP7,NE8,0
BP7,NS10,6
BP7,NS11,8
BP7,NS13,5
BP7,NS14,3
BP7,NS15,11
BP7,NS16,6
BP7,NS17,0
BP7,NS18,0
BP7,NS19,1
BP7,NS2,17
BP7,NS20,1
BP7,NS21,0
BP7,NS22,0
BP7,NS23,0
BP7,NS27,0
BP7,NS3,21
BP7,NS4,204
BP7,NS5,35
BP7,NS7,10
BP7,NS8,2
BP7,NS9,10
BP7,SE2,0
BP7,SW8,0
BP8,BP10,580
BP8,BP11,319
BP8,BP12,248
BP8,BP13,77
BP8,BP14,5
BP8,BP2,131
BP8,BP3,124
BP8,BP4,102
BP8,BP5,61
BP8,BP6,608
BP8,BP7,35
BP8,BP9,151
BP8,CC1-NE6-NS24,0
BP8,CC10,0
BP8,CC11,0
BP8,CC12,0
BP8,CC14,0
BP8,CC16,0
BP8,CC17,0
BP8,CC19,0
BP8,CC21,0
BP8,CC23,0
BP8,CC24,1
BP8,CC25,0
BP8,CC26,0
BP8,CC27,0
BP8,CC28,0
BP8,CC4-DT15,0
BP8,CE1,0
BP8,CG1,0
BP8,CG2,0
BP8,DT1,0
BP8,DT11,0
BP8,DT13,0
BP8,DT18,0
BP8,DT2,0
BP8,DT21,0
BP8,DT24,0
BP8,DT28,0
BP8,DT32,0
BP8,DT33,0
BP8,DT5,0
BP8,DT7,0
BP8,EW1,0
BP8,EW10,0
BP8,EW11,0
BP8,EW12,1
BP8,EW13-NS25,0
BP8,EW14-NS26,0
BP8,EW15,2
BP8,EW16,1
BP8,EW17,4
BP8,EW18,4
BP8,EW19,5
BP8,EW2,0
BP8,EW20,4
BP8,EW21,6
BP8,EW22,15
BP8,EW23,8
BP8,EW24-NS1,209
BP8,EW25,3
BP8,EW26,18
BP8,EW27,49
BP8,EW28,22
BP8,EW29,27
BP8,EW3,0
BP8,EW30,3
BP8,EW31,2
BP8,EW32,2
BP8,EW33,2
BP8,EW4,0
BP8,EW5,0
BP8,EW6,0
BP8,EW7,0
BP8,EW8,1
BP8,EW9,0
BP8,NE1,1
BP8,NE11,0
BP8,NE12,0
BP8,NE13,0
BP8,NE14,0
BP8,NE17-PTC,0
BP8,NE4,0
BP8,NE5,0
BP8,NE7,0
BP8,NE8,0
BP8,NE9,0
BP8,NS10,4
BP8,NS11,6
BP8,NS13,4
BP8,NS14,2
BP8,NS15,8
BP8,NS16,4
BP8,NS17,1
