,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
BP10,EW24/NS1,WEEKENDS/HOLIDAY,,4.0,8.0,6.1,9.2,10.5,11.0,12.4,13.6,11.2,9.6,9.1,8.2,9.0,6.9,2.1,0.8,0.6,0.4,0.1
BP10,EW25,WEEKDAY,,,0.5,0.5,0.4,0.1,0.2,,0.2,,,,0.6,0.1,0.2,0.1,0.1,,,
BP10,EW25,WEEKENDS/HOLIDAY,,,,,0.8,,,,,0.2,0.1,,0.5,0.4,,,,,,
BP10,EW26,WEEKDAY,,1.1,3.1,3.0,2.4,0.4,0.5,0.2,0.7,0.2,,,0.2,0.5,0.6,0.4,0.3,0.8,0.1,
BP10,EW26,WEEKENDS/HOLIDAY,,,2.5,1.4,0.8,0.8,0.8,0.2,1.0,0.5,0.1,1.0,1.5,0.5,1.1,0.2,0.5,,0.1,
BP10,EW27,WEEKDAY,,4.8,12.6,9.4,5.8,3.1,2.2,1.3,2.6,1.3,1.6,1.5,1.2,1.1,1.3,0.5,0.5,0.4,0.1,0.1
BP10,EW27,WEEKENDS/HOLIDAY,,1.6,3.1,1.9,1.9,2.1,2.1,0.9,3.1,1.0,1.0,3.6,1.5,1.5,1.8,0.9,1.1,1.1,0.6,0.1
BP10,EW28,WEEKDAY,,0.1,3.9,3.1,3.6,1.8,1.1,0.5,1.0,1.2,0.9,,0.6,,1.2,0.9,0.1,0.1,0.1,
BP10,EW28,WEEKENDS/HOLIDAY,,0.1,2.6,,0.8,0.5,0.2,0.2,0.1,1.1,0.2,0.2,0.2,0.2,1.1,0.2,0.9,0.5,0.2,
BP10,EW29,WEEKDAY,,6.5,14.6,8.4,0.8,0.2,0.2,1.0,0.8,0.3,0.2,,,0.1,0.6,0.1,0.1,,,
BP10,EW29,WEEKENDS/HOLIDAY,,1.6,3.8,1.6,0.1,0.1,,0.9,0.9,0.4,0.2,0.1,,,1.4,,0.4,,,
BP10,EW30,WEEKDAY,,1.1,3.7,4.5,0.1,,,,,,,,,,0.5,,,,,
BP10,EW30,WEEKENDS/HOLIDAY,,,1.9,1.2,0.1,,,,,,,,,,0.4,,,,,
BP10,EW31,WEEKDAY,,0.4,2.5,2.0,0.8,0.1,,,,,,,,0.1,0.1,,,,,
BP10,EW31,WEEKENDS/HOLIDAY,,0.2,0.5,,0.1,,,0.1,,,,,,,,,,,,
BP10,EW32,WEEKDAY,,1.1,1.4,3.3,0.7,,,,,,,,,1.0,0.1,,,,,
BP10,EW32,WEEKENDS/HOLIDAY,,0.4,0.9,0.6,0.1,,,,,,,,,,,,,,,
BP10,EW33,WEEKDAY,,1.2,1.0,1.7,0.4,,,,,0.5,,,,0.2,,,,,,
BP10,EW33,WEEKENDS/HOLIDAY,,0.1,0.2,0.5,0.5,,,,,,,,,0.2,,,,,,
BP10,EW4,WEEKENDS/HOLIDAY,,,0.2,,,,,,,,,,,,,,,,,
